category,normalized_skill,count
Design & UX,ui/ux,73
Design & UX,wireframe,44
Design & UX,portfolio,40
Design & UX,ui,28
Design & UX,prototype,26
Design & UX,ux,22
Design & UX,mockup,21
Design & UX,responsive design,20
Design & UX,design system,17
Design & UX,user flow,14
Design & UX,thiết kế ui/ux,13
Design & UX,layout,11
Design & UX,animation,10
Design & UX,material design,10
Design & UX,responsive,10
Design & UX,ux/ui,9
Design & UX,level design,8
Design & UX,design thinking,7
Design & UX,typography,7
Design & UX,ui/ux designer,7
Design & UX,ux research,7
Design & UX,wireframes,7
Design & UX,accessibility,6
Design & UX,design systems,6
Design & UX,hành vi người dùng,6
Design & UX,prototyping,6
Design & UX,thiết kế game,6
Design & UX,tư duy thẩm mỹ,6
Design & UX,3d,5
Design & UX,animations,5
Design & UX,cross-browser compatibility,5
Design & UX,data visualization,5
Design & UX,graphic design,5
Design & UX,màu sắc,5
Design & UX,thiết kế,5
Design & UX,ui/ux principles,5
Design & UX,usability,5
Design & UX,ux/ui principles,5
Design & UX,design,4
Design & UX,flat design,4
Design & UX,game balancing,4
Design & UX,game element,4
Design & UX,game mechanic,4
Design & UX,nghiên cứu người dùng,4
Design & UX,phối màu,4
Design & UX,product design,4
Design & UX,prototypes,4
Design & UX,shader,4
Design & UX,thiết kế giao diện,4
Design & UX,thiết kế level,4
Design & UX,trải nghiệm người dùng,4
Design & UX,ui/ux design,4
Design & UX,user flows,4
Design & UX,user research,4
Design & UX,ux principles,4
Design & UX,"xây dựng, tùy biến ui",4
Design & UX,bố cục,3
Design & UX,dashboard,3
Design & UX,flow,3
Design & UX,game design,3
Design & UX,game designer,3
Design & UX,information architecture,3
Design & UX,interaction design,3
Design & UX,player psychology,3
Design & UX,product designer,3
Design & UX,responsive web design,3
Design & UX,thiết kế mobile app,3
Design & UX,thiết kế sản phẩm,3
Design & UX,thiết kế sản phẩm cho app,3
Design & UX,thiết kế sản phẩm cho web,3
Design & UX,thiết kế ui,3
Design & UX,thiết kế ux/ui,3
Design & UX,thiết kế đồ họa,3
Design & UX,thẩm mỹ,3
Design & UX,ui/ux mobile,3
Design & UX,usability testing,3
Design & UX,user,3
Design & UX,user journey,3
Design & UX,ux design,3
Design & UX,web design,3
Design & UX,2d,2
Design & UX,accessibility standards,2
Design & UX,animation trong unity,2
Design & UX,art,2
Design & UX,atomic design,2
Design & UX,branding,2
Design & UX,color,2
Design & UX,color theory,2
Design & UX,custom ui,2
Design & UX,cơ chế gameplay,2
Design & UX,data-driven design,2
Design & UX,effects and particles,2
Design & UX,fiori design principles,2
Design & UX,font chữ,2
Design & UX,fx cho game,2
Design & UX,gdd,2
Design & UX,graphic,2
Design & UX,grid system,2
Design & UX,human-centered design,2
Design & UX,hệ thống lưới,2
Design & UX,illustration,2
Design & UX,micro-interactions,2
Design & UX,mock-up,2
Design & UX,monetization design,2
Design & UX,motion design,2
Design & UX,motion figma,2
Design & UX,nghiên cứu và research thông tin,2
Design & UX,nguyên tắc thiết kế,2
Design & UX,nguyên tắc thiết kế giao diện người dùng trên ios,2
Design & UX,nguyên tắc ui/ux,2
Design & UX,particles system,2
Design & UX,phân tích hành vi người dùng,2
Design & UX,phân tích người dùng,2
Design & UX,responsive ui,2
Design & UX,responsive web,2
Design & UX,responsive web interfaces,2
Design & UX,retention,2
Design & UX,service design,2
Design & UX,spacing,2
Design & UX,sản phẩm demo,2
Design & UX,thiết kế 3d,2
Design & UX,thiết kế giao diện người dùng trên android,2
Design & UX,thiết kế keyvisual,2
Design & UX,thiết kế trải nghiệm,2
Design & UX,thiết kế trải nghiệm người dùng,2
Design & UX,thiết kế về giao diện game trên mobile,2
Design & UX,thiết kế wireframe,2
Design & UX,tư duy mỹ thuật,2
Design & UX,tư duy thiết kế,2
Design & UX,tư duy ui/ux,2
Design & UX,tối ưu trải nghiệm tương tác,2
Design & UX,tối ưu ux,2
Design & UX,ui - ux,2
Design & UX,ui/ux best practices,2
Design & UX,uiux designer,2
Design & UX,user (ux,2
Design & UX,user behavior,2
Design & UX,user testing,2
Design & UX,user-centered design,2
Design & UX,user-centric design,2
Design & UX,ux analytics,2
Design & UX,ux/ui design,2
Design & UX,ux/ui designer,2
Design & UX,vfx trong unity,2
Design & UX,vẽ mockup,2
Design & UX,web responsive,2
Design & UX,website responsive,2
Design & UX,wireframing,2
Design & UX,xml layouts,2
Design & UX,đa màn hình,2
Design & UX,2d artist,1
Design & UX,2d game artist,1
Design & UX,3d animation,1
Design & UX,3d asset processing,1
Design & UX,3d graphics,1
Design & UX,3d modeling,1
Design & UX,3d pipeline,1
Design & UX,3d programing,1
Design & UX,3d web,1
Design & UX,accessibility (wcag,1
Design & UX,accessibility compliance,1
Design & UX,advanced rendering techniques,1
Design & UX,ai-powered,1
Design & UX,anim,1
Design & UX,animation (micro-interaction,1
Design & UX,art style,1
Design & UX,asset 2d,1
Design & UX,asset 3d,1
Design & UX,auto-layout,1
Design & UX,basic animation,1
Design & UX,cart abandonment,1
Design & UX,charts,1
Design & UX,chat ui,1
Design & UX,check ui/ux,1
Design & UX,chỉnh sửa ảnh,1
Design & UX,chủ đề,1
Design & UX,"clean, modern designs",1
Design & UX,component,1
Design & UX,concept art,1
Design & UX,conversation design,1
Design & UX,conversational ui,1
Design & UX,core loop,1
Design & UX,craft the ui,1
Design & UX,cro consulting,1
Design & UX,cross-browser,1
Design & UX,css/js animation,1
Design & UX,custom view,1
Design & UX,customer,1
Design & UX,customer centric,1
Design & UX,customer journey,1
Design & UX,customer journey mapping,1
Design & UX,customer profile,1
Design & UX,customize and optimize user interfaces,1
Design & UX,các tiêu chuẩn trong thiết kế,1
Design & UX,công cụ vẽ mockup,1
Design & UX,cải thiện trải nghiệm người dùng,1
Design & UX,cải thiện ux người dùng,1
Design & UX,cập nhật xu hướng thiết kế,1
Design & UX,dashboard quản trị,1
Design & UX,design process,1
Design & UX,design system awareness,1
Design & UX,design system thinking,1
Design & UX,design tokens,1
Design & UX,design-thinking,1
Design & UX,designing mobile applications,1
Design & UX,designing user flows,1
Design & UX,difficulty curve,1
Design & UX,difficulty curves,1
Design & UX,digital ux definition,1
Design & UX,economic design,1
Design & UX,economy design,1
Design & UX,economy/balancing,1
Design & UX,feature design,1
Design & UX,flow diagram,1
Design & UX,flowcharts,1
Design & UX,font,1
Design & UX,frontend web responsive,1
Design & UX,full-flow design,1
Design & UX,fx,1
Design & UX,gain points,1
Design & UX,game artist,1
Design & UX,game balance,1
Design & UX,game feel,1
Design & UX,gameplay mechanics,1
Design & UX,gamification design,1
Design & UX,giọng nói/hội thoại,1
Design & UX,graphics,1
Design & UX,gui frameworks,1
Design & UX,handoff,1
Design & UX,hci,1
Design & UX,hierarchy,1
Design & UX,hiệu ứng đồ họa,1
Design & UX,hoạt hình,1
Design & UX,hoạt ảnh,1
Design & UX,human interface guidelines,1
Design & UX,hành vi người mua trên sàn,1
Design & UX,hành vi tâm lý user,1
Design & UX,hệ thống nhận diện,1
Design & UX,hệ thống thiết kế,1
Design & UX,ideation,1
Design & UX,information design,1
Design & UX,insight khách hàng,1
Design & UX,interactive portfolio,1
Design & UX,interactive prototypes,1
Design & UX,ios guidelines,1
Design & UX,ios human interface guidelines,1
Design & UX,jobs-to-be-done,1
Design & UX,khiếu thẩm mỹ,1
Design & UX,khảo sát khách hàng,1
Design & UX,kiến trúc thông tin,1
Design & UX,kiểm thử tính khả dụng,1
Design & UX,kiểm thử ux,1
Design & UX,kiểm thử ux/ui flow,1
Design & UX,kiểu chữ,1
Design & UX,kịch bản game,1
Design & UX,layouts,1
