category,normalized_skill,count
Domain Knowledge,erp,161
Domain Knowledge,ngân hàng,96
Domain Knowledge,tài chính,91
Domain Knowledge,fintech,84
Domain Knowledge,crm,69
Domain Knowledge,banking,66
Domain Knowledge,saas,54
Domain Knowledge,e-commerce,52
Domain Knowledge,iot,43
Domain Knowledge,ecommerce,31
Domain Knowledge,logistics,31
Domain Knowledge,backend,29
Domain Knowledge,frontend,29
Domain Knowledge,thương mại điện tử,29
Domain Knowledge,finance,28
Domain Knowledge,backend development,26
Domain Knowledge,blockchain,26
Domain Knowledge,financial services,26
Domain Knowledge,chứng khoán,25
Domain Knowledge,hrm,25
Domain Knowledge,it,25
Domain Knowledge,chuyển đổi số,24
Domain Knowledge,viễn thông,24
Domain Knowledge,sản xuất,23
Domain Knowledge,cntt,21
Domain Knowledge,nghiệp vụ ngân hàng,20
Domain Knowledge,web development,19
Domain Knowledge,marketing,18
Domain Knowledge,tài chính ngân hàng,18
Domain Knowledge,bảo hiểm,17
Domain Knowledge,công nghệ thông tin,17
Domain Knowledge,game,17
Domain Knowledge,business analyst,16
Domain Knowledge,ví điện tử,16
Domain Knowledge,retail,15
Domain Knowledge,ba,14
Domain Knowledge,edtech,14
Domain Knowledge,kế toán,14
Domain Knowledge,mobile app,14
Domain Knowledge,bất động sản,13
Domain Knowledge,digital banking,13
Domain Knowledge,phát triển phần mềm,13
Domain Knowledge,core banking,12
Domain Knowledge,dms,12
Domain Knowledge,front-end,12
Domain Knowledge,insurance,12
Domain Knowledge,mes,12
Domain Knowledge,mobile banking,12
Domain Knowledge,presales,12
Domain Knowledge,healthcare,11
Domain Knowledge,brse,10
Domain Knowledge,f&b,10
Domain Knowledge,fmcg,10
Domain Knowledge,fullstack,10
Domain Knowledge,payment,10
Domain Knowledge,phần mềm,10
Domain Knowledge,back-end,9
Domain Knowledge,game mobile,9
Domain Knowledge,lms,9
Domain Knowledge,pos,9
Domain Knowledge,thanh toán,9
Domain Knowledge,web3,9
Domain Knowledge,bank,8
Domain Knowledge,ble,8
Domain Knowledge,bán lẻ,8
Domain Knowledge,compliance,8
Domain Knowledge,financial systems,8
Domain Knowledge,frontend development,8
Domain Knowledge,lập trình backend,8
Domain Knowledge,lập trình web,8
Domain Knowledge,manufacturing,8
Domain Knowledge,product,8
Domain Knowledge,quản lý kho,8
Domain Knowledge,tài chính – ngân hàng,8
Domain Knowledge,xây dựng,8
Domain Knowledge,bim,7
Domain Knowledge,cctv,7
Domain Knowledge,digital marketing,7
Domain Knowledge,digital transformation,7
Domain Knowledge,ekyc,7
Domain Knowledge,enterprise,7
Domain Knowledge,giáo dục,7
Domain Knowledge,hệ thống tài chính,7
Domain Knowledge,iap,7
Domain Knowledge,payment gateway,7
Domain Knowledge,phát triển ứng dụng web,7
Domain Knowledge,presale,7
Domain Knowledge,product owner,7
Domain Knowledge,puzzle,7
Domain Knowledge,quản trị rủi ro,7
Domain Knowledge,web,7
Domain Knowledge,y tế,7
Domain Knowledge,b2b saas,6
Domain Knowledge,b2c,6
Domain Knowledge,bán hàng,6
Domain Knowledge,game mechanics,6
Domain Knowledge,hệ thống erp,6
Domain Knowledge,internet banking,6
Domain Knowledge,inventory,6
Domain Knowledge,lending,6
Domain Knowledge,los,6
Domain Knowledge,marketplace,6
Domain Knowledge,monetization,6
Domain Knowledge,phát triển backend,6
Domain Knowledge,quản trị doanh nghiệp,6
Domain Knowledge,tmđt,6
Domain Knowledge,tổ chức tài chính,6
Domain Knowledge,tự động hóa,6
Domain Knowledge,video streaming,6
Domain Knowledge,web applications,6
Domain Knowledge,ai,5
Domain Knowledge,audio,5
Domain Knowledge,automotive,5
Domain Knowledge,bluetooth,5
Domain Knowledge,chăm sóc khách hàng,5
Domain Knowledge,crypto,5
Domain Knowledge,defi,5
Domain Knowledge,full-stack,5
Domain Knowledge,information security,5
Domain Knowledge,it business analyst,5
Domain Knowledge,loyalty,5
Domain Knowledge,mobile apps,5
Domain Knowledge,mrp,5
Domain Knowledge,ngân hàng/tài chính,5
Domain Knowledge,outsourcing,5
Domain Knowledge,payment systems,5
Domain Knowledge,phát triển web,5
Domain Knowledge,phát triển ứng dụng,5
Domain Knowledge,quản lý bán hàng,5
Domain Knowledge,software development,5
Domain Knowledge,trading,5
Domain Knowledge,triển khai erp,5
Domain Knowledge,tài chính/ngân hàng,5
Domain Knowledge,web application development,5
Domain Knowledge,aml,4
Domain Knowledge,android development,4
Domain Knowledge,automation,4
Domain Knowledge,banking/financial services,4
Domain Knowledge,bpm,4
Domain Knowledge,bđs,4
Domain Knowledge,chuỗi cung ứng,4
Domain Knowledge,chính phủ,4
Domain Knowledge,cấu trúc bài thi (ielts/toeic,4
Domain Knowledge,digital,4
Domain Knowledge,enterprise platforms,4
Domain Knowledge,enterprise software,4
Domain Knowledge,erp systems,4
Domain Knowledge,fe,4
Domain Knowledge,fullstack developer,4
Domain Knowledge,game 3d,4
Domain Knowledge,game development,4
Domain Knowledge,giải pháp chuyển đổi số doanh nghiệp,4
Domain Knowledge,giảng dạy ngôn ngữ anh,4
Domain Knowledge,his,4
Domain Knowledge,hr,4
Domain Knowledge,hạ tầng,4
Domain Knowledge,hệ thống cntt,4
Domain Knowledge,hệ thống ngân hàng,4
Domain Knowledge,hệ thống thông tin,4
Domain Knowledge,it outsourcing,4
Domain Knowledge,kinh doanh,4
Domain Knowledge,lis,4
Domain Knowledge,marketing automation,4
Domain Knowledge,metaverse,4
Domain Knowledge,mobile,4
Domain Knowledge,mobile game,4
Domain Knowledge,mua hàng,4
Domain Knowledge,nghiệp vụ tài chính ngân hàng,4
Domain Knowledge,ngân hàng - tài chính,4
Domain Knowledge,phân phối,4
Domain Knowledge,phân tích game,4
Domain Knowledge,phần mềm kế toán,4
Domain Knowledge,phần mềm quản lý,4
Domain Knowledge,product management,4
Domain Knowledge,proptech,4
Domain Knowledge,quy trình nghiệp vụ,4
Domain Knowledge,"quy định pháp lý, đạo đức liên quan đến ai",4
Domain Knowledge,quản lý doanh nghiệp,4
Domain Knowledge,risk management,4
Domain Knowledge,robotics,4
Domain Knowledge,sales,4
Domain Knowledge,seo,4
Domain Knowledge,si projects,4
Domain Knowledge,smart contract,4
Domain Knowledge,subscription,4
Domain Knowledge,supply chain,4
Domain Knowledge,system integration,4
Domain Knowledge,sản phẩm số,4
Domain Knowledge,thanh toán điện tử,4
Domain Knowledge,thương mại,4
Domain Knowledge,tài chính - ngân hàng,4
Domain Knowledge,tư vấn giải pháp,4
Domain Knowledge,vận hành,4
Domain Knowledge,web app,4
Domain Knowledge,web technologies,4
Domain Knowledge,wms,4
Domain Knowledge,điện tử,4
Domain Knowledge,đấu thầu,4
Domain Knowledge,accounting,3
Domain Knowledge,adas,3
Domain Knowledge,amr,3
Domain Knowledge,android application development,3
Domain Knowledge,android automotive,3
Domain Knowledge,app,3
Domain Knowledge,automotive domain,3
Domain Knowledge,back-end development,3
Domain Knowledge,backend developer,3
Domain Knowledge,backend engineering,3
Domain Knowledge,bank data,3
Domain Knowledge,bank general,3
Domain Knowledge,bank projects,3
Domain Knowledge,banking domain,3
Domain Knowledge,banking or financial sector,3
Domain Knowledge,bảo mật dữ liệu,3
Domain Knowledge,casual,3
Domain Knowledge,cdp,3
Domain Knowledge,chuỗi bán lẻ,3
Domain Knowledge,chính phủ điện tử,3
Domain Knowledge,consulting,3
Domain Knowledge,contracts,3
Domain Knowledge,corebanking,3
Domain Knowledge,corebanking (t24,3
Domain Knowledge,cybersecurity,3
Domain Knowledge,công nghệ,3
Domain Knowledge,công nghệ giáo dục,3
Domain Knowledge,delivery,3
Domain Knowledge,dicom,3
Domain Knowledge,dịch vụ,3
Domain Knowledge,dịch vụ cntt,3
Domain Knowledge,dự án chuyển đổi số,3
Domain Knowledge,dự án cntt,3
Domain Knowledge,dự án khối chính phủ,3
Domain Knowledge,dự án đầu tư công,3
Domain Knowledge,education,3
Domain Knowledge,ehr,3
Domain Knowledge,emr,3
Domain Knowledge,energy,3
Domain Knowledge,enterprise it,3
Domain Knowledge,financial,3
Domain Knowledge,full stack developer,3
Domain Knowledge,full stack development,3
Domain Knowledge,full-stack development,3
Domain Knowledge,functional safety,3
Domain Knowledge,game bắn súng,3
Domain Knowledge,game casual,3
Domain Knowledge,game casual/puzzle,3
Domain Knowledge,game designer,3
Domain Knowledge,game puzzle,3
Domain Knowledge,gaming,3
Domain Knowledge,healthcare it,3
Domain Knowledge,hls,3
Domain Knowledge,hybrid casual,3
Domain Knowledge,hóa đơn điện tử,3
Domain Knowledge,hệ thống phần mềm y tế,3
Domain Knowledge,in-app purchase,3
Domain Knowledge,information technology,3
Domain Knowledge,it risk,3
Domain Knowledge,kho vận,3
Domain Knowledge,khách sạn,3
Domain Knowledge,kinh tế,3
Domain Knowledge,ltv,3
Domain Knowledge,lĩnh vực y tế,3
Domain Knowledge,marketplace platforms,3
Domain Knowledge,mobile attribution,3
Domain Knowledge,multiplayer,3
Domain Knowledge,napas,3
Domain Knowledge,nền tảng số,3
Domain Knowledge,omnichannel,3
Domain Knowledge,open banking,3
Domain Knowledge,operations,3
Domain Knowledge,ott,3
Domain Knowledge,pacs,3
Domain Knowledge,payment gateways,3
Domain Knowledge,pháp lý liên quan đến đấu thầu,3
Domain Knowledge,phát triển frontend,3
Domain Knowledge,phát triển sản phẩm,3
Domain Knowledge,phát triển sản phẩm mobile app,3
Domain Knowledge,phát triển website,3
Domain Knowledge,phân tích kinh doanh,3
Domain Knowledge,playable ads,3
