category,normalized_skill,count
Embedded & Firmware,can,29
Embedded & Firmware,spi,15
Embedded & Firmware,esp32,12
Embedded & Firmware,lin,12
Embedded & Firmware,stm32,12
Embedded & Firmware,i2c,11
Embedded & Firmware,uart,10
Embedded & Firmware,mcu,9
Embedded & Firmware,plc,9
Embedded & Firmware,rtos,9
Embedded & Firmware,hệ thống nhúng,8
Embedded & Firmware,cảm biến,7
Embedded & Firmware,embedded software development,7
Embedded & Firmware,freertos,7
Embedded & Firmware,canoe,6
Embedded & Firmware,microcontrollers,6
Embedded & Firmware,modbus,6
Embedded & Firmware,vi điều khiển,6
Embedded & Firmware,embedded systems,5
Embedded & Firmware,ethernet,5
Embedded & Firmware,flexray,5
Embedded & Firmware,lập trình plc,5
Embedded & Firmware,pic,5
Embedded & Firmware,arm,4
Embedded & Firmware,canalyzer,4
Embedded & Firmware,driver development,4
Embedded & Firmware,embedded linux,4
Embedded & Firmware,hmi,4
Embedded & Firmware,điện tử,4
Embedded & Firmware,avr,3
Embedded & Firmware,bsp,3
Embedded & Firmware,dsp,3
Embedded & Firmware,firmware,3
Embedded & Firmware,lập trình nhúng,3
Embedded & Firmware,mqtt,3
Embedded & Firmware,scada,3
Embedded & Firmware,schematic,3
Embedded & Firmware,sensor,3
Embedded & Firmware,servo,3
Embedded & Firmware,soc,3
Embedded & Firmware,some/ip,3
Embedded & Firmware,usb,3
Embedded & Firmware,wi-fi,3
Embedded & Firmware,điện tử công suất,3
Embedded & Firmware,arduino,2
Embedded & Firmware,arm cortex-m,2
Embedded & Firmware,automotive microcontrollers,2
Embedded & Firmware,biến tần,2
Embedded & Firmware,diagnostic,2
Embedded & Firmware,doip,2
Embedded & Firmware,driver,2
Embedded & Firmware,ecu hardware modification,2
Embedded & Firmware,ecu test,2
Embedded & Firmware,eeprom,2
Embedded & Firmware,embedded c,2
Embedded & Firmware,embedded c/c,2
Embedded & Firmware,embedded software,2
Embedded & Firmware,embedded system development,2
Embedded & Firmware,etas isolar,2
Embedded & Firmware,eth,2
Embedded & Firmware,fee,2
Embedded & Firmware,flash,2
Embedded & Firmware,hardware,2
Embedded & Firmware,i2s,2
Embedded & Firmware,io,2
Embedded & Firmware,jetson,2
Embedded & Firmware,kỹ thuật vi xử lý,2
Embedded & Firmware,kỹ thuật điện tử,2
Embedded & Firmware,labcar,2
Embedded & Firmware,lcd,2
Embedded & Firmware,linux kernel,2
Embedded & Firmware,lora,2
Embedded & Firmware,microcontroller,2
Embedded & Firmware,mitsubishi,2
Embedded & Firmware,mpc,2
Embedded & Firmware,npu,2
Embedded & Firmware,nrf,2
Embedded & Firmware,nvm,2
Embedded & Firmware,nxp,2
Embedded & Firmware,opc ua,2
Embedded & Firmware,phần cứng,2
Embedded & Firmware,pid,2
Embedded & Firmware,profinet,2
Embedded & Firmware,real-time operating system (rtos,2
Embedded & Firmware,relay,2
Embedded & Firmware,renesas,2
Embedded & Firmware,robot,2
Embedded & Firmware,rs232,2
Embedded & Firmware,rs485,2
Embedded & Firmware,rte/bsw configuration,2
Embedded & Firmware,sai,2
Embedded & Firmware,secure boot,2
Embedded & Firmware,siemens,2
Embedded & Firmware,thiết kế mạch điều khiển,2
Embedded & Firmware,thiết kế pcb,2
Embedded & Firmware,uds,2
Embedded & Firmware,vector davinci,2
Embedded & Firmware,vi xử lý,2
Embedded & Firmware,yocto,2
Embedded & Firmware,zephyr,2
Embedded & Firmware,-hal interactions,1
Embedded & Firmware,8051,1
Embedded & Firmware,accelerometers,1
Embedded & Firmware,active/passive components,1
Embedded & Firmware,adaptive autosar,1
Embedded & Firmware,ahb,1
Embedded & Firmware,amba protocol,1
Embedded & Firmware,android hal,1
Embedded & Firmware,android hal sw development,1
Embedded & Firmware,android kernel development,1
Embedded & Firmware,antenna design,1
Embedded & Firmware,apb,1
Embedded & Firmware,arm cortex,1
Embedded & Firmware,arm microcontrollers,1
Embedded & Firmware,asic,1
Embedded & Firmware,asw,1
Embedded & Firmware,atsam,1
Embedded & Firmware,atsamd,1
Embedded & Firmware,audio dsp,1
Embedded & Firmware,audio pipeline,1
Embedded & Firmware,automation,1
Embedded & Firmware,automation programming,1
Embedded & Firmware,automotive embedded,1
Embedded & Firmware,automotive embedded systems and applications,1
Embedded & Firmware,automotive hardware development,1
Embedded & Firmware,autosar,1
Embedded & Firmware,autosar configuration tools,1
Embedded & Firmware,autosar sw development,1
Embedded & Firmware,autosar tooling,1
Embedded & Firmware,autosar tools,1
Embedded & Firmware,axi,1
Embedded & Firmware,beam forming,1
Embedded & Firmware,binder,1
Embedded & Firmware,bldc,1
Embedded & Firmware,ble,1
Embedded & Firmware,bluetooth,1
Embedded & Firmware,bluetooth le,1
Embedded & Firmware,board bring-up,1
Embedded & Firmware,board-level hardware design,1
Embedded & Firmware,boot loader,1
Embedded & Firmware,bootloaders,1
Embedded & Firmware,broadcom,1
Embedded & Firmware,bsp concepts,1
Embedded & Firmware,bsw,1
Embedded & Firmware,bsw development,1
Embedded & Firmware,buck/boost,1
Embedded & Firmware,buildroot,1
