category,normalized_skill,count
Engineering Concepts & Methodologies,agile,363
Engineering Concepts & Methodologies,scrum,230
Engineering Concepts & Methodologies,microservices,160
Engineering Concepts & Methodologies,oop,159
Engineering Concepts & Methodologies,restful api,149
Engineering Concepts & Methodologies,api,125
Engineering Concepts & Methodologies,agile/scrum,115
Engineering Concepts & Methodologies,design patterns,97
Engineering Concepts & Methodologies,quy trình phát triển phần mềm,91
Engineering Concepts & Methodologies,restful apis,88
Engineering Concepts & Methodologies,phân tích nghiệp vụ,78
Engineering Concepts & Methodologies,waterfall,73
Engineering Concepts & Methodologies,rest api,67
Engineering Concepts & Methodologies,design pattern,57
Engineering Concepts & Methodologies,solid,57
Engineering Concepts & Methodologies,clean code,56
Engineering Concepts & Methodologies,sdlc,56
Engineering Concepts & Methodologies,mvvm,55
Engineering Concepts & Methodologies,phát triển phần mềm,54
Engineering Concepts & Methodologies,viết tài liệu,51
Engineering Concepts & Methodologies,software development,48
Engineering Concepts & Methodologies,clean architecture,46
Engineering Concepts & Methodologies,performance optimization,46
Engineering Concepts & Methodologies,apis,44
Engineering Concepts & Methodologies,microservices architecture,44
Engineering Concepts & Methodologies,system design,44
Engineering Concepts & Methodologies,distributed systems,42
Engineering Concepts & Methodologies,mvc,42
Engineering Concepts & Methodologies,caching,40
Engineering Concepts & Methodologies,state management,40
Engineering Concepts & Methodologies,microservice,39
Engineering Concepts & Methodologies,data structures,38
Engineering Concepts & Methodologies,debugging,38
Engineering Concepts & Methodologies,phân tích yêu cầu,38
Engineering Concepts & Methodologies,websocket,38
Engineering Concepts & Methodologies,ba,36
Engineering Concepts & Methodologies,rest apis,36
Engineering Concepts & Methodologies,uml,34
Engineering Concepts & Methodologies,tư duy hệ thống,33
Engineering Concepts & Methodologies,algorithms,32
Engineering Concepts & Methodologies,grpc,32
Engineering Concepts & Methodologies,business analyst,30
Engineering Concepts & Methodologies,restful,30
Engineering Concepts & Methodologies,jwt,29
Engineering Concepts & Methodologies,performance tuning,29
Engineering Concepts & Methodologies,tích hợp hệ thống,29
Engineering Concepts & Methodologies,thiết kế hệ thống,28
Engineering Concepts & Methodologies,debug,27
Engineering Concepts & Methodologies,software engineering,27
Engineering Concepts & Methodologies,srs,27
Engineering Concepts & Methodologies,documentation,26
Engineering Concepts & Methodologies,event-driven architecture,26
Engineering Concepts & Methodologies,orm,26
Engineering Concepts & Methodologies,brd,25
Engineering Concepts & Methodologies,lập trình hướng đối tượng,25
Engineering Concepts & Methodologies,cấu trúc dữ liệu và giải thuật,24
Engineering Concepts & Methodologies,rest,24
Engineering Concepts & Methodologies,user story,24
Engineering Concepts & Methodologies,code review,23
Engineering Concepts & Methodologies,cấu trúc dữ liệu,23
Engineering Concepts & Methodologies,bpmn,22
Engineering Concepts & Methodologies,business analysis,22
Engineering Concepts & Methodologies,kanban,22
Engineering Concepts & Methodologies,a/b testing,21
Engineering Concepts & Methodologies,soap,21
Engineering Concepts & Methodologies,api design,20
Engineering Concepts & Methodologies,http,20
