category,normalized_skill,count
Framework / Library,react,274
Framework / Library,node.js,162
Framework / Library,spring boot,127
Framework / Library,net,123
Framework / Library,vue,109
Framework / Library,angular,107
Framework / Library,next.js,73
Framework / Library,spring,65
Framework / Library,flutter,62
Framework / Library,react native,59
Framework / Library,laravel,51
Framework / Library,nestjs,50
Framework / Library,net core,48
Framework / Library,fastapi,46
Framework / Library,redux,43
Framework / Library,jquery,39
Framework / Library,hibernate,35
Framework / Library,bootstrap,32
Framework / Library,django,30
Framework / Library,pandas,29
Framework / Library,langchain,28
Framework / Library,flask,27
Framework / Library,spring mvc,25
Framework / Library,numpy,21
Framework / Library,spring security,20
Framework / Library,asp.net core,18
Framework / Library,entity,18
Framework / Library,jetpack compose,18
Framework / Library,jpa,18
Framework / Library,angularjs,17
Framework / Library,bloc,17
Framework / Library,express.js,17
Framework / Library,provider,17
Framework / Library,langgraph,16
Framework / Library,llamaindex,15
Framework / Library,react js,15
Framework / Library,riverpod,15
Framework / Library,swiftui,15
Framework / Library,asp.net,14
Framework / Library,coroutines,14
Framework / Library,rxjs,14
Framework / Library,uikit,14
Framework / Library,entity core,13
Framework / Library,scikit-learn,13
Framework / Library,flow,12
Framework / Library,retrofit,12
Framework / Library,tailwind css,12
Framework / Library,hilt,11
Framework / Library,ant design,10
Framework / Library,coroutine,10
Framework / Library,zustand,10
Framework / Library,android sdk,9
Framework / Library,java spring boot,9
Framework / Library,linq,9
Framework / Library,wpf,9
Framework / Library,context api,8
Framework / Library,express,8
Framework / Library,qt,8
Framework / Library,spring cloud,8
Framework / Library,springboot,8
Framework / Library,struts,8
Framework / Library,ajax,7
Framework / Library,asp.net mvc,7
Framework / Library,dagger,7
Framework / Library,graphql,7
Framework / Library,navigation,7
Framework / Library,okhttp,7
Framework / Library,redux toolkit,7
Framework / Library,ruby on rails,7
Framework / Library,rxjava,7
Framework / Library,socketio,7
Framework / Library,tailwind,7
Framework / Library,tensorflow,7
Framework / Library,autogen,6
Framework / Library,combine,6
Framework / Library,crewai,6
Framework / Library,getx,6
Framework / Library,jetpack,6
Framework / Library,jsp,6
Framework / Library,mobx,6
Framework / Library,pytorch,6
Framework / Library,socket.io,6
Framework / Library,spring data,6
Framework / Library,tailwindcss,6
Framework / Library,webrtc,6
Framework / Library,angular material,5
Framework / Library,codeigniter,5
Framework / Library,compose,5
Framework / Library,devexpress,5
Framework / Library,hooks,5
Framework / Library,ngrx,5
Framework / Library,pinia,5
Framework / Library,room,5
Framework / Library,rxswift,5
Framework / Library,spring data jpa,5
Framework / Library,vuex,5
Framework / Library,ado.net,4
Framework / Library,android,4
Framework / Library,axios,4
Framework / Library,blazor,4
Framework / Library,celery,4
Framework / Library,core data,4
Framework / Library,expo,4
Framework / Library,front-end,4
Framework / Library,frontend,4
Framework / Library,gcd,4
Framework / Library,grpc,4
Framework / Library,ios sdk,4
Framework / Library,java ee,4
Framework / Library,jetpack components,4
Framework / Library,less,4
Framework / Library,livedata,4
Framework / Library,mvc,4
Framework / Library,native modules,4
Framework / Library,net 8,4
Framework / Library,node js,4
Framework / Library,react hooks,4
Framework / Library,react query,4
Framework / Library,sass,4
Framework / Library,stl,4
Framework / Library,swift concurrency,4
Framework / Library,tanstack query,4
Framework / Library,three.js,4
Framework / Library,viewmodel,4
Framework / Library,vue 3,4
Framework / Library,webgl,4
Framework / Library,winforms,4
Framework / Library,xgboost,4
Framework / Library,activity,3
Framework / Library,android jetpack,3
Framework / Library,angular 2,3
Framework / Library,auto layout,3
Framework / Library,bootstrap 5,3
Framework / Library,cakephp,3
Framework / Library,core animation,3
Framework / Library,dapper,3
Framework / Library,dio,3
Framework / Library,dotnet,3
Framework / Library,ef core,3
Framework / Library,electronjs,3
Framework / Library,eloquent orm,3
Framework / Library,fetch,3
Framework / Library,fragment,3
Framework / Library,highcharts,3
Framework / Library,ionic,3
Framework / Library,j2ee,3
Framework / Library,java springboot,3
Framework / Library,jdbc,3
Framework / Library,jni,3
Framework / Library,keras,3
Framework / Library,material ui,3
Framework / Library,matplotlib,3
Framework / Library,mfc,3
Framework / Library,mui,3
Framework / Library,mybatis,3
Framework / Library,nest.js,3
Framework / Library,next js,3
Framework / Library,nltk,3
Framework / Library,node,3
Framework / Library,nuxtjs,3
Framework / Library,project reactor,3
Framework / Library,pyspark,3
Framework / Library,qweb,3
Framework / Library,reactnative,3
Framework / Library,redux-saga,3
Framework / Library,service,3
Framework / Library,spring webflux,3
Framework / Library,svelte,3
Framework / Library,typeorm,3
Framework / Library,ui,3
Framework / Library,vue router,3
Framework / Library,vuetify,3
Framework / Library,web api,3
Framework / Library,activity/fragment,2
Framework / Library,android frameworks,2
Framework / Library,angular 8,2
Framework / Library,angular universal,2
Framework / Library,antdesignvue,2
Framework / Library,apache,2
Framework / Library,backbase,2
Framework / Library,backend,2
Framework / Library,bootstrapvue,2
Framework / Library,broadcast receiver,2
Framework / Library,caffeine,2
Framework / Library,cocos creator,2
Framework / Library,component libraries,2
Framework / Library,core graphics,2
Framework / Library,d3,2
Framework / Library,datastore,2
Framework / Library,devextreme,2
Framework / Library,echo,2
Framework / Library,ee,2
Framework / Library,emotion,2
Framework / Library,esp-idf,2
Framework / Library,fiori,2
Framework / Library,fiori elements,2
Framework / Library,flutter internals,2
Framework / Library,flutter_secure_storage,2
Framework / Library,gin,2
Framework / Library,go-zero,2
Framework / Library,google maps sdk,2
Framework / Library,haystack,2
Framework / Library,hibernate/jpa,2
Framework / Library,java nio,2
Framework / Library,java spring,2
Framework / Library,javascript frameworks,2
Framework / Library,jsp/servlet,2
Framework / Library,kmm,2
Framework / Library,koa,2
Framework / Library,koin,2
Framework / Library,kotlin multiplatform,2
Framework / Library,langchain api,2
Framework / Library,lightning web components,2
Framework / Library,lightweight charts,2
Framework / Library,lwc,2
Framework / Library,net 6/7,2
Framework / Library,net 9,2
Framework / Library,net development,2
Framework / Library,net framwork,2
Framework / Library,net mvc,2
Framework / Library,odoo orm,2
Framework / Library,openzeppelin,2
Framework / Library,phaser,2
Framework / Library,php laravel,2
Framework / Library,qml,2
Framework / Library,rails,2
Framework / Library,razor,2
Framework / Library,react-hook-form,2
Framework / Library,reactor,2
Framework / Library,reanimated,2
Framework / Library,recharts,2
Framework / Library,recoil,2
Framework / Library,recyclerview,2
Framework / Library,remix,2
Framework / Library,retrofit2,2
Framework / Library,sapui5,2
Framework / Library,scipy,2
Framework / Library,seasar2,2
Framework / Library,server components,2
Framework / Library,signalr,2
Framework / Library,sklearn,2
Framework / Library,spacy,2
Framework / Library,sqlalchemy,2
Framework / Library,stanford corenlp,2
Framework / Library,style-component,2
Framework / Library,styled component,2
Framework / Library,swift ui,2
Framework / Library,tauri,2
Framework / Library,thymeleaf,2
Framework / Library,tradingview charting,2
Framework / Library,ugui,2
Framework / Library,unity,2
Framework / Library,viewbinding,2
Framework / Library,vtk,2
Framework / Library,webassembly,2
Framework / Library,websocket,2
Framework / Library,,1
Framework / Library,3rd-party sdks,1
Framework / Library,abap restful programming model,1
Framework / Library,abp,1
Framework / Library,activity/fragment lifecycle,1
Framework / Library,adapter,1
Framework / Library,addressables,1
Framework / Library,adk,1
Framework / Library,adonisjs,1
Framework / Library,ai agent frameworks,1
Framework / Library,ai frameworks,1
Framework / Library,ai/ml,1
Framework / Library,akka,1
Framework / Library,alv,1
Framework / Library,android material 3,1
Framework / Library,android native,1
Framework / Library,android services,1
Framework / Library,androidx,1
Framework / Library,angular 12,1
Framework / Library,angular 19,1
Framework / Library,angular 4,1
Framework / Library,angular js,1
Framework / Library,angular v10,1
Framework / Library,animator,1
Framework / Library,annotation frameworks,1
Framework / Library,apache camel,1
Framework / Library,apexcharts,1
Framework / Library,api,1
Framework / Library,api routes,1
Framework / Library,apollo client,1
Framework / Library,app router,1
Framework / Library,architecture components,1
Framework / Library,asp .net,1
Framework / Library,asp.net core restful web api,1
Framework / Library,asp.net core web api,1
Framework / Library,asp.net mvc 5,1
Framework / Library,asp.net web form,1
Framework / Library,asp.net web forms,1
Framework / Library,asyncio,1
Framework / Library,asyncstorage,1
Framework / Library,aura,1
Framework / Library,aura components,1
Framework / Library,auto-layout,1
Framework / Library,avfoundation,1
Framework / Library,avplayer,1
Framework / Library,babylon.js,1
Framework / Library,babylonjs,1
Framework / Library,back-end,1
Framework / Library,backend frameworks,1
Framework / Library,backend nodejs,1
Framework / Library,bapi,1
Framework / Library,barcode scanner sdks,1
Framework / Library,bdc,1
Framework / Library,bean validation,1
Framework / Library,beautifulsoup,1
Framework / Library,behave,1
Framework / Library,better-sqlite3,1
Framework / Library,bluedroid,1
Framework / Library,bluez,1
Framework / Library,bootstrap responsive,1
Framework / Library,bpm,1
Framework / Library,broadcast,1
Framework / Library,bun,1
Framework / Library,c# asp.net,1
Framework / Library,callkit,1
Framework / Library,camerax,1
Framework / Library,canvas,1
Framework / Library,cap,1
Framework / Library,car,1
Framework / Library,carrierwave,1
Framework / Library,casbin,1
Framework / Library,cds,1
Framework / Library,cds views,1
Framework / Library,chakra ui,1
Framework / Library,channels,1
Framework / Library,chart.js,1
Framework / Library,chopper,1
Framework / Library,cloud application programming model,1
Framework / Library,cloud sdk,1
Framework / Library,cocoa,1
Framework / Library,cocos2d-x,1
Framework / Library,collection,1
Framework / Library,collections,1
Framework / Library,component,1
Framework / Library,component ui,1
Framework / Library,componentone,1
Framework / Library,composition api,1
Framework / Library,constraintlayout,1
Framework / Library,contact,1
Framework / Library,context,1
Framework / Library,copilotkit,1
Framework / Library,cordova,1
Framework / Library,core .net,1
Framework / Library,core data services (cds,1
Framework / Library,core graphic,1
Framework / Library,corelocation,1
Framework / Library,coreml,1
Framework / Library,corenlp,1
Framework / Library,coroutines flow,1
Framework / Library,cosmos sdk,1
Framework / Library,cross- frameworks,1
Framework / Library,css preprocessors,1
Framework / Library,css-in-js,1
Framework / Library,cubit,1
Framework / Library,cublas,1
Framework / Library,cucumber,1
Framework / Library,cudnn,1
Framework / Library,custom fiori apps,1
Framework / Library,custom plugin development,1
Framework / Library,custom view,1
Framework / Library,custom widget,1
Framework / Library,d3.js,1
Framework / Library,dagger2,1
Framework / Library,dart ffi,1
Framework / Library,datareader,1
Framework / Library,dataset,1
Framework / Library,datatable,1
Framework / Library,devise,1
Framework / Library,dgs,1
Framework / Library,diffable datasources,1
Framework / Library,diffutil,1
Framework / Library,django orm,1
Framework / Library,dl,1
Framework / Library,dotween,1
Framework / Library,drizzle orm,1
Framework / Library,dspy,1
