category,normalized_skill,count
IT Support & Hardware,it support,36
IT Support & Hardware,phần cứng,28
IT Support & Hardware,troubleshooting,18
IT Support & Hardware,phần cứng máy tính,17
IT Support & Hardware,it helpdesk,14
IT Support & Hardware,camera,12
IT Support & Hardware,hỗ trợ người dùng,12
IT Support & Hardware,helpdesk,9
IT Support & Hardware,san,9
IT Support & Hardware,cài đặt phần mềm,6
IT Support & Hardware,hỗ trợ kỹ thuật,6
IT Support & Hardware,thiết bị văn phòng,6
IT Support & Hardware,xử lý sự cố,6
IT Support & Hardware,máy tính,5
IT Support & Hardware,nas,5
IT Support & Hardware,raid,5
IT Support & Hardware,storage,5
IT Support & Hardware,technical support,5
IT Support & Hardware,dell,4
IT Support & Hardware,máy in,4
IT Support & Hardware,phần mềm,4
IT Support & Hardware,sửa chữa điện thoại,4
IT Support & Hardware,application support,3
IT Support & Hardware,customer support,3
IT Support & Hardware,gpu,3
IT Support & Hardware,hardware,3
IT Support & Hardware,hỗ trợ it,3
IT Support & Hardware,hỗ trợ người dùng nội bộ,3
IT Support & Hardware,hỗ trợ user,3
IT Support & Hardware,lenovo,3
IT Support & Hardware,pc,3
IT Support & Hardware,phần mềm máy tính,3
IT Support & Hardware,printers,3
IT Support & Hardware,thiết bị it,3
IT Support & Hardware,xử lý lỗi kỹ thuật,3
IT Support & Hardware,xử lý sự cố pc/laptop,3
IT Support & Hardware,xử lý sự cố phần mềm,3
IT Support & Hardware,cabling,2
IT Support & Hardware,cat5/6,2
IT Support & Hardware,cài đặt hệ điều hành,2
IT Support & Hardware,cài đặt máy móc,2
IT Support & Hardware,cài đặt máy tính,2
IT Support & Hardware,data recovery,2
IT Support & Hardware,fiber,2
IT Support & Hardware,hardware debugging,2
IT Support & Hardware,hpe,2
IT Support & Hardware,hệ thống phần cứng,2
IT Support & Hardware,hỗ trợ phần mềm,2
IT Support & Hardware,ibm,2
IT Support & Hardware,ilo,2
IT Support & Hardware,ip phone,2
IT Support & Hardware,it administration,2
IT Support & Hardware,it operations,2
IT Support & Hardware,it phần cứng,2
IT Support & Hardware,it technician,2
IT Support & Hardware,kiến trúc máy tính,2
IT Support & Hardware,laptop,2
IT Support & Hardware,lưu trữ,2
IT Support & Hardware,lắp ráp máy tính,2
IT Support & Hardware,lắp đặt,2
IT Support & Hardware,lắp đặt phần cứng,2
IT Support & Hardware,netapp,2
IT Support & Hardware,pda,2
IT Support & Hardware,phần cứng pc/ laptop,2
IT Support & Hardware,quản lý dịch vụ cntt,2
IT Support & Hardware,rack and stack thiết bị,2
IT Support & Hardware,sao lưu dữ liệu,2
IT Support & Hardware,site support,2
IT Support & Hardware,sla,2
IT Support & Hardware,slas,2
IT Support & Hardware,storage systems,2
IT Support & Hardware,switch,2
IT Support & Hardware,sửa chữa,2
IT Support & Hardware,sửa chữa máy tính,2
IT Support & Hardware,sửa macbook,2
IT Support & Hardware,tablet,2
IT Support & Hardware,thiết bị phần cứng,2
IT Support & Hardware,xử lý phần cứng máy tính,2
IT Support & Hardware,xử lý sự cố it,2
IT Support & Hardware,xử lý sự cố máy tính,2
IT Support & Hardware,ai camera,1
IT Support & Hardware,allowed/blocked software,1
IT Support & Hardware,an toàn trong quá trình sử dụng thiết bị,1
IT Support & Hardware,application maintenance and support,1
IT Support & Hardware,backup data,1
IT Support & Hardware,backup dữ liệu,1
IT Support & Hardware,basic computer and network,1
IT Support & Hardware,bl460,1
IT Support & Hardware,bảo hành bảo trì,1
IT Support & Hardware,bảo hành các thiết bị tin học,1
IT Support & Hardware,bảo hành – sửa chữa,1
IT Support & Hardware,"bảo hành, bảo trì máy tính and các thiết bị văn phòng",1
IT Support & Hardware,bảo trì máy tính,1
IT Support & Hardware,"bảo trì, sửa chữa thiết bị công nghệ thông tin",1
IT Support & Hardware,bấm dây mạng (rj45,1
IT Support & Hardware,c7000 enclosure,1
IT Support & Hardware,camera cctv,1
IT Support & Hardware,camera giám sát,1
IT Support & Hardware,camera hồng ngoại,1
IT Support & Hardware,camera ip,1
IT Support & Hardware,cameras,1
IT Support & Hardware,cctv,1
IT Support & Hardware,chẩn đoán lỗi,1
IT Support & Hardware,chẩn đoán phần cứng chuyên sâu,1
IT Support & Hardware,cisco,1
IT Support & Hardware,cloud storage,1
IT Support & Hardware,computer operation,1
IT Support & Hardware,computer systems,1
IT Support & Hardware,computers,1
IT Support & Hardware,cài win,1
IT Support & Hardware,cài đặt,1
IT Support & Hardware,cài đặt phần mềm máy tính,1
IT Support & Hardware,các thiết bị văn phòng,1
IT Support & Hardware,các thành phần của máy in laser,1
IT Support & Hardware,các thành phần của máy tính,1
IT Support & Hardware,cấu hình,1
IT Support & Hardware,cấu hình raid,1
IT Support & Hardware,data backup/restore/recovery,1
IT Support & Hardware,data retention,1
IT Support & Hardware,data tiering,1
IT Support & Hardware,desktop support,1
IT Support & Hardware,digital forensic,1
IT Support & Hardware,digital forensics,1
IT Support & Hardware,disk management,1
IT Support & Hardware,dl380,1
IT Support & Hardware,dvr,1
IT Support & Hardware,endpoint management,1
IT Support & Hardware,endpoint support,1
IT Support & Hardware,enterprise hardware technologies,1
IT Support & Hardware,fisheye,1
IT Support & Hardware,hdd,1
IT Support & Hardware,help desk,1
IT Support & Hardware,helpdesk sap b1,1
IT Support & Hardware,hitachi,1
IT Support & Hardware,hp,1
IT Support & Hardware,hpe/aruba,1
IT Support & Hardware,hệ thống camera,1
IT Support & Hardware,hệ thống camera giám sát,1
IT Support & Hardware,hệ thống cctv,1
IT Support & Hardware,hệ thống lưu trữ,1
IT Support & Hardware,hệ thống lưu trữ văn bản,1
IT Support & Hardware,hệ thống máy tính,1
IT Support & Hardware,hệ thống phần mềm máy vi tính,1
IT Support & Hardware,hệ điều hành client/server,1
IT Support & Hardware,hỗ trợ cntt,1
IT Support & Hardware,hỗ trợ khách hàng,1
IT Support & Hardware,hỗ trợ khách hàng qua ticket,1
IT Support & Hardware,hỗ trợ kỹ thuật (level 2/3,1
IT Support & Hardware,hỗ trợ kỹ thuật hệ thống cntt,1
IT Support & Hardware,hỗ trợ kỹ thuật về hạ tầng cntt,1
IT Support & Hardware,hỗ trợ người dùng phần mềm,1
IT Support & Hardware,hỗ trợ từ xa (remote,1
IT Support & Hardware,hỗ trợ và vận hành hệ thống it,1
IT Support & Hardware,hỗ trợ vận hành hệ thống,1
IT Support & Hardware,hỗ trợ vận hành hệ thống cntt,1
IT Support & Hardware,idrac,1
IT Support & Hardware,incident detection,1
IT Support & Hardware,incident management,1
IT Support & Hardware,incident response,1
IT Support & Hardware,it,1
IT Support & Hardware,it - phần cứng,1
IT Support & Hardware,it admin,1
IT Support & Hardware,it dịch vụ,1
IT Support & Hardware,it infrastructure,1
IT Support & Hardware,it service desk,1
IT Support & Hardware,it service management,1
IT Support & Hardware,it specialist,1
IT Support & Hardware,it support/helpdesk,1
IT Support & Hardware,it system,1
IT Support & Hardware,it system administration,1
IT Support & Hardware,it system support,1
IT Support & Hardware,it triển khai,1
IT Support & Hardware,it troubleshooting,1
IT Support & Hardware,it tổng hợp,1
IT Support & Hardware,khảo sát và thi công lắp đặt,1
IT Support & Hardware,khắc phục các sự cố trên pc,1
IT Support & Hardware,khắc phục lỗi cho pc/server,1
IT Support & Hardware,khắc phục sự cố,1
IT Support & Hardware,kiến thức cơ bản về máy tính,1
IT Support & Hardware,kiểm tra lỗi phần cứng,1
IT Support & Hardware,"kiểm tra – đánh giá phần cứng, phần mềm",1
IT Support & Hardware,kéo cáp lan/cat6,1
IT Support & Hardware,kéo cáp mạng,1
IT Support & Hardware,kéo dây tín hiệu,1
IT Support & Hardware,kỹ thuật máy tính,1
IT Support & Hardware,l3 support,1
IT Support & Hardware,laptops,1
IT Support & Hardware,level 2 support,1
IT Support & Hardware,level 2/level 3 escalations,1
IT Support & Hardware,linh kiện,1
IT Support & Hardware,luồn ống,1
IT Support & Hardware,làm việc tại cửa hàng it,1
IT Support & Hardware,làm việc tại trung tâm bảo hành,1
IT Support & Hardware,lắp camera,1
IT Support & Hardware,lắp ráp cài đặt máy tính,1
IT Support & Hardware,lắp ráp phần cứng,1
IT Support & Hardware,lắp ráp phần cứng máy tính,1
IT Support & Hardware,lắp đặt and cài đặt các thiết bị văn phòng,1
IT Support & Hardware,lắp đặt hạ tầng viễn thông-cntt,1
IT Support & Hardware,lắp đặt máy tính,1
IT Support & Hardware,lắp đặt phần cứng máy tính,1
IT Support & Hardware,"lắp đặt, bảo trì thiết bị server",1
IT Support & Hardware,major incidents,1
IT Support & Hardware,modem,1
IT Support & Hardware,máy chấm công,1
IT Support & Hardware,máy chủ hpe,1
IT Support & Hardware,máy in mạng,1
IT Support & Hardware,máy móc,1
IT Support & Hardware,mạch điện tử,1
IT Support & Hardware,nas synology,1
IT Support & Hardware,network card,1
IT Support & Hardware,network support,1
IT Support & Hardware,nhân viên kỹ thuật,1
IT Support & Hardware,nvr,1
IT Support & Hardware,nâng cấp linh kiện,1
IT Support & Hardware,object storage (s3,1
IT Support & Hardware,onboard administrator,1
IT Support & Hardware,paging,1
IT Support & Hardware,pbx,1
IT Support & Hardware,pc hardware,1
IT Support & Hardware,pc/laptop hardware,1
IT Support & Hardware,pcb soldering,1
IT Support & Hardware,pcs,1
IT Support & Hardware,"phân tích triệu chứng, khoanh vùng và xác định nguyên nhân sự cố",1
IT Support & Hardware,phần cứng di động,1
IT Support & Hardware,phần cứng máy chủ,1
IT Support & Hardware,phần cứng phần mềm thiết bị cntt,1
IT Support & Hardware,phần mềm cơ bản,1
IT Support & Hardware,post-incident reviews,1
IT Support & Hardware,production support,1
IT Support & Hardware,ptz,1
IT Support & Hardware,quản lý hệ thống,1
IT Support & Hardware,quản lý hệ thống camera,1
IT Support & Hardware,quản lý hệ thống it doanh nghiệp,1
IT Support & Hardware,"quản lý, theo dõi thiết bị",1
IT Support & Hardware,quản trị,1
IT Support & Hardware,quản trị hệ thống camera,1
IT Support & Hardware,quản trị hệ thống cntt doanh nghiệp,1
IT Support & Hardware,quản trị hệ thống it,1
IT Support & Hardware,ram,1
IT Support & Hardware,replication,1
IT Support & Hardware,resolving endpoint issues,1
IT Support & Hardware,san storage systems,1
IT Support & Hardware,server and storage administrator,1
IT Support & Hardware,server hp dl360,1
IT Support & Hardware,server/hardware,1
IT Support & Hardware,service catalog management,1
IT Support & Hardware,service desk,1
IT Support & Hardware,setup hệ thống it,1
IT Support & Hardware,sla tracking,1
IT Support & Hardware,snapshot,1
IT Support & Hardware,ssd,1
IT Support & Hardware,storage vật lý,1
IT Support & Hardware,storage/backup,1
IT Support & Hardware,subsidiary or multi-entity it operations,1
IT Support & Hardware,supermicro,1
IT Support & Hardware,support,1
IT Support & Hardware,support các app hoặc plugin chuyên về e-commerce,1
IT Support & Hardware,support kỹ thuật,1
IT Support & Hardware,support readiness,1
IT Support & Hardware,synology,1
IT Support & Hardware,system configuration,1
IT Support & Hardware,systems support,1
IT Support & Hardware,"sắp xếp, bố trí thiết bị vật lý",1
IT Support & Hardware,sửa chữa laptop,1
IT Support & Hardware,sửa chữa laptop máy tính,1
IT Support & Hardware,sửa chữa pc/laptop/thiết bị số,1
IT Support & Hardware,"sửa chữa, bảo trì máy tính",1
IT Support & Hardware,sửa iphone,1
IT Support & Hardware,sửa mainboard,1
IT Support & Hardware,tat/sla,1
IT Support & Hardware,technical operation,1
IT Support & Hardware,telephone config,1
IT Support & Hardware,test phần cứng,1
IT Support & Hardware,thay linh kiện máy in,1
IT Support & Hardware,thay thế fru,1
IT Support & Hardware,thay thế linh kiện,1
IT Support & Hardware,thi công cơ bản,1
IT Support & Hardware,thi công lắp đặt hệ thống camera,1
