category,normalized_skill,count
Other,ccna,89
Other,pmp,72
Other,json,66
Other,ccnp,58
Other,mcsa,49
Other,toeic,39
Other,business analyst,38
Other,ceh,38
Other,itil,32
Other,istqb,30
Other,iso 27001,27
Other,xml,26
Other,cissp,24
Other,mcse,21
Other,cbap,19
Other,sdlc,18
Other,security,18
Other,lpi,17
Other,pci-dss,17
Other,pmi-acp,17
Other,prince2,17
Other,ielts,16
Other,brse,15
Other,cism,15
Other,pmi-pba,15
Other,ba,13
Other,gdpr,13
Other,scrum master,13
Other,cisa,12
Other,cmmi,12
Other,comptia security,12
Other,oscp,12
Other,jncip,11
Other,psm,11
Other,csm,10
Other,iso 9001,10
Other,owasp top 10,10
Other,product owner,10
Other,autosar,9
Other,aws,9
Other,mobile,9
Other,rhcsa,9
Other,nist,8
Other,phần mềm,8
Other,product manager,8
Other,togaf,8
Other,ccie,7
Other,ccnp security,7
Other,cspo,7
Other,rhce,7
Other,vmware,7
Other,acp,6
Other,ccba,6
Other,cka,6
Other,hipaa,6
Other,iso 26262,6
Other,iso/iec 27001,6
Other,jlpt n2,6
Other,lập trình mobile,6
Other,mcp,6
Other,mitre att&ck,6
Other,ocp,6
Other,owasp,6
Other,pci dss,6
Other,waterfall,6
Other,aws certified solutions architect,5
Other,chứng chỉ aws,5
Other,chứng chỉ bảo mật,5
Other,fortinet nse,5
Other,fullstack,5
Other,ios,5
Other,iso,5
Other,iso 27001 la/li,5
Other,istqb foundation,5
Other,jncia,5
Other,jwt,5
Other,lập trình,5
Other,microsoft,5
Other,mobile app,5
Other,mobile development,5
Other,oswe,5
Other,toefl,5
Other,vcp,5
Other,automation,4
Other,backend,4
Other,ccna security,4
Other,ccsa,4
Other,cdmp practitioner,4
Other,cdpse,4
Other,celta,4
Other,certified scrum master,4
Other,chứng chỉ chuyên môn,4
Other,ckad,4
Other,decree 13/2023/nđ-cp,4
Other,developer,4
Other,google,4
Other,ios development,4
Other,iso26262,4
Other,iso27001,4
Other,jlpt n3,4
Other,mcitp,4
Other,palo alto,4
Other,phát triển ứng dụng mobile,4
Other,pmi,4
Other,pmp certification,4
Other,pspo,4
Other,quản lý dự án,4
Other,sc-200,4
Other,software engineer,4
Other,sscp,4
Other,v-model,4
Other,agile certification,3
Other,android,3
Other,aspice,3
Other,aws certification,3
Other,bim coordinator,3
Other,bim manager,3
Other,ccse,3
Other,ccsp,3
Other,chứng chỉ cloud,3
Other,chứng chỉ linux,3
Other,chứng chỉ microsoft,3
Other,chứng chỉ quốc tế,3
Other,chứng chỉ tester,3
Other,chứng chỉ đào tạo về kiểm thử,3
Other,cks,3
Other,cysa,3
Other,dell emc,3
Other,dev,3
Other,development,3
Other,ejpt,3
Other,fe,3
Other,fortinet,3
Other,google cloud,3
Other,hpe,3
Other,ios native,3
Other,iso 8583,3
Other,istqb certification,3
Other,itil foundation,3
Other,lập trình mobile app,3
Other,mcp (model context protocol,3
Other,microsoft certified,3
Other,mobile application development,3
Other,native,3
