category,normalized_skill,count
Programming Language,python,546
Programming Language,java,423
Programming Language,c,363
Programming Language,javascript,331
Programming Language,typescript,176
Programming Language,css,164
Programming Language,html,160
Programming Language,php,120
Programming Language,go,106
Programming Language,kotlin,87
Programming Language,html5,63
Programming Language,bash,60
Programming Language,swift,56
Programming Language,css3,50
Programming Language,lập trình,40
Programming Language,powershell,30
Programming Language,r,27
Programming Language,scripting,26
Programming Language,dart,22
Programming Language,java core,22
Programming Language,scala,22
Programming Language,c/c,20
Programming Language,objective-c,16
Programming Language,scss,16
Programming Language,ruby,15
Programming Language,pl/sql,11
Programming Language,shell script,11
Programming Language,shell scripting,11
Programming Language,graphql,9
Programming Language,html/css,9
Programming Language,programming,9
Programming Language,perl,8
Programming Language,rust,8
Programming Language,xml,8
Programming Language,es6,7
Programming Language,ngôn ngữ lập trình,6
Programming Language,vba,6
Programming Language,coding,5
Programming Language,java 8,5
Programming Language,javascript (es6,5
Programming Language,shell,5
Programming Language,shell scripts,5
Programming Language,sql,5
Programming Language,bash script,4
Programming Language,c sharp,4
Programming Language,c# .net,4
Programming Language,c#.net,4
Programming Language,groovy,4
Programming Language,java 11,4
Programming Language,less,4
Programming Language,sass,4
Programming Language,abap,3
Programming Language,cobol,3
Programming Language,google apps script,3
Programming Language,javascript(es6,3
Programming Language,node.js,3
Programming Language,solidity,3
Programming Language,t-sql,3
Programming Language,vb.net,3
Programming Language,abap/badi implementations,2
Programming Language,apex,2
Programming Language,c programming,2
Programming Language,code,2
Programming Language,core java,2
Programming Language,go (golang,2
Programming Language,go lang,2
Programming Language,html5/css3,2
Programming Language,java 17,2
Programming Language,java script,2
Programming Language,javascrip,2
Programming Language,javascript es6,2
Programming Language,lua,2
Programming Language,lập trình ngôn ngữ bậc cao,2
Programming Language,ngôn ngữ backend,2
Programming Language,object c,2
Programming Language,object-c,2
Programming Language,sap abap,2
Programming Language,scripting language,2
Programming Language,shell-script,2
Programming Language,software coding,2
Programming Language,vb,2
Programming Language,abap debugging,1
Programming Language,access modifier,1
Programming Language,al,1
Programming Language,android,1
Programming Language,android java,1
Programming Language,apex classes,1
Programming Language,bash scripting,1
Programming Language,bash scripts,1
Programming Language,bash shell,1
Programming Language,bashscript,1
Programming Language,batch scripting,1
Programming Language,beanshell,1
Programming Language,capl,1
Programming Language,channel,1
Programming Language,coding/scripting,1
Programming Language,collections,1
Programming Language,coroutines,1
Programming Language,css/scss,1
Programming Language,css3/scss,1
Programming Language,cuda,1
Programming Language,dataweave,1
Programming Language,dax,1
Programming Language,dhtml,1
Programming Language,ecmascript 6,1
Programming Language,excel vba,1
Programming Language,flexbox,1
Programming Language,frontend development,1
Programming Language,func,1
Programming Language,glsl shaders,1
Programming Language,go programming,1
Programming Language,goroutine,1
Programming Language,grid,1
Programming Language,ios swift,1
Programming Language,j2ee,1
Programming Language,java backend,1
Programming Language,java core back-end,1
Programming Language,java jdk 17,1
Programming Language,java native,1
Programming Language,java technologies,1
Programming Language,java web,1
Programming Language,javascript/typescript,1
Programming Language,jbase,1
Programming Language,jcl,1
Programming Language,jsp,1
Programming Language,jvm languages,1
Programming Language,kotlin android,1
Programming Language,kotlin dsl,1
Programming Language,lambda,1
Programming Language,luau,1
Programming Language,lập trình 1 ngôn ngữ,1
Programming Language,lập trình android native,1
Programming Language,metatables,1
Programming Language,modulescripts,1
Programming Language,native,1
Programming Language,native code,1
Programming Language,net code,1
Programming Language,ngôn ngữ lập trình backend,1
Programming Language,ngôn ngữ đa nền tảng,1
Programming Language,object-oriented javascript,1
Programming Language,objective c,1
Programming Language,objective – c,1
Programming Language,os script,1
Programming Language,os scripting,1
Programming Language,pl/pgsql,1
Programming Language,plpgsql,1
Programming Language,plsql,1
Programming Language,power fx,1
Programming Language,powershell scripting,1
Programming Language,powershelll,1
Programming Language,programming language,1
Programming Language,programming languages,1
Programming Language,programming/scripting languages,1
Programming Language,python automation/scripting,1
Programming Language,sap abap development,1
Programming Language,sass/scss,1
Programming Language,script,1
Programming Language,scripting languages,1
Programming Language,scripting/automation,1
Programming Language,scripts,1
Programming Language,scss/sass,1
Programming Language,scss/sass/css,1
Programming Language,server-side javascript,1
Programming Language,shell scripting (bash,1
Programming Language,software programming languages,1
Programming Language,sql script,1
Programming Language,systemverilog,1
Programming Language,table,1
Programming Language,tcl,1
Programming Language,typescripts,1
Programming Language,unix shell scripts,1
Programming Language,unix/linux scripting,1
Programming Language,value and reference types,1
Programming Language,vanilla js,1
Programming Language,vanillajs,1
Programming Language,vb .net,1
Programming Language,vfp,1
Programming Language,visual basic,1
Programming Language,visual fox,1
Programming Language,viết chương trình phần mềm,1
Programming Language,x,1
Programming Language,xml views,1
Programming Language,yaml,1
