category,normalized_skill,count
Soft Skill,giao tiếp,839
Soft Skill,làm việc nhóm,546
Soft Skill,tiếng anh,541
Soft Skill,english,473
Soft Skill,giải quyết vấn đề,402
Soft Skill,tư duy logic,379
Soft Skill,communication,355
Soft Skill,problem-solving,289
Soft Skill,làm việc độc lập,239
Soft Skill,teamwork,163
Soft Skill,thuyết trình,121
Soft Skill,phân tích,116
Soft Skill,trình bày,106
Soft Skill,tiếng nhật,103
Soft Skill,lập kế hoạch,94
Soft Skill,tư duy hệ thống,88
Soft Skill,quản lý thời gian,85
Soft Skill,leadership,74
Soft Skill,analytical,73
Soft Skill,làm việc theo nhóm,71
Soft Skill,quản lý dự án,64
Soft Skill,đàm phán,60
Soft Skill,stakeholder management,53
Soft Skill,japanese,49
Soft Skill,mentoring,48
Soft Skill,collaboration,47
Soft Skill,logical thinking,47
Soft Skill,lãnh đạo,44
Soft Skill,analytical thinking,40
Soft Skill,time management,39
Soft Skill,quản lý,38
Soft Skill,tư duy phản biện,38
Soft Skill,đào tạo,38
Soft Skill,presentation,37
Soft Skill,tư duy phân tích,37
Soft Skill,tư duy sản phẩm,36
Soft Skill,problem solving,35
Soft Skill,đọc hiểu tài liệu tiếng anh,35
Soft Skill,quản lý nhóm,33
Soft Skill,quản lý công việc,32
Soft Skill,project management,30
Soft Skill,troubleshooting,30
Soft Skill,phân tích và giải quyết vấn đề,29
Soft Skill,xử lý vấn đề,29
Soft Skill,english communication,27
Soft Skill,đọc hiểu tài liệu kỹ thuật,27
Soft Skill,phối hợp nhóm,26
Soft Skill,nghiên cứu,25
Soft Skill,tổ chức công việc,25
Soft Skill,negotiation,22
Soft Skill,ra quyết định,21
Soft Skill,team management,21
Soft Skill,vietnamese,21
Soft Skill,báo cáo,20
Soft Skill,critical thinking,20
Soft Skill,product owner,20
Soft Skill,quản lý team,20
Soft Skill,tiếng trung,20
Soft Skill,tư duy chiến lược,20
Soft Skill,xử lý sự cố,20
Soft Skill,documentation,19
Soft Skill,logic,19
Soft Skill,phối hợp,19
Soft Skill,tổ chức,19
Soft Skill,technical leadership,18
Soft Skill,đọc hiểu tài liệu kỹ thuật tiếng anh,18
Soft Skill,phân tích vấn đề,16
Soft Skill,team player,16
Soft Skill,mentor,15
Soft Skill,product mindset,15
Soft Skill,project manager,15
Soft Skill,research,15
Soft Skill,technical lead,15
Soft Skill,giao tiếp tiếng anh,14
Soft Skill,lead team,14
Soft Skill,product management,14
Soft Skill,tech lead,14
Soft Skill,tư duy,14
Soft Skill,tư duy sáng tạo,14
Soft Skill,viết tài liệu,14
Soft Skill,chinese,13
Soft Skill,communicate,13
Soft Skill,sáng tạo,13
Soft Skill,coaching,12
Soft Skill,interpersonal,12
Soft Skill,phản biện,12
Soft Skill,pm,12
Soft Skill,risk management,12
Soft Skill,system thinking,12
Soft Skill,team leader,12
Soft Skill,thuyết phục,12
Soft Skill,organizational,11
Soft Skill,product thinking,11
Soft Skill,team lead,11
Soft Skill,work independently,11
Soft Skill,điều phối,11
Soft Skill,giải quyết các vấn đề,10
Soft Skill,quản lý tiến độ,10
Soft Skill,quản lý đội nhóm,10
Soft Skill,tư vấn,10
Soft Skill,đọc hiểu tài liệu,10
Soft Skill,product manager,9
Soft Skill,trình bày vấn đề,9
Soft Skill,leader,8
Soft Skill,làm việc với khách hàng,8
Soft Skill,lắng nghe,8
Soft Skill,phân tích và xử lý vấn đề,8
Soft Skill,project coordination,8
Soft Skill,quản lý deadline,8
Soft Skill,tiếng anh giao tiếp,8
Soft Skill,tiếng hàn,8
Soft Skill,truyền đạt,8
Soft Skill,tư vấn giải pháp,8
Soft Skill,communication in english,7
Soft Skill,giảng dạy,7
Soft Skill,korean,7
Soft Skill,lead,7
Soft Skill,people management,7
Soft Skill,phân tích và xử lý sự cố,7
Soft Skill,quản trị dự án,7
Soft Skill,tiếng việt,7
Soft Skill,trình bày giải pháp,7
Soft Skill,coordination,6
Soft Skill,dẫn dắt kỹ thuật,6
Soft Skill,dẫn dắt đội nhóm,6
Soft Skill,facilitation,6
Soft Skill,giao tiếp bằng tiếng anh,6
Soft Skill,làm việc đội nhóm,6
Soft Skill,lãnh đạo nhóm,6
Soft Skill,quản lý rủi ro,6
Soft Skill,reporting,6
Soft Skill,stakeholder communication,6
Soft Skill,tư duy lập trình,6
Soft Skill,work in a team,6
Soft Skill,working with japanese clients,6
Soft Skill,change management,5
Soft Skill,chăm sóc khách hàng,5
Soft Skill,conflict resolution,5
Soft Skill,cskh,5
Soft Skill,dẫn dắt team,5
Soft Skill,german,5
Soft Skill,giải quyết xung đột,5
Soft Skill,korean language,5
Soft Skill,phân tích logic,5
Soft Skill,presentations,5
Soft Skill,quản lý xung đột,5
Soft Skill,team building,5
Soft Skill,team work,5
Soft Skill,technical reporting,5
Soft Skill,tiếng anh chuyên ngành,5
Soft Skill,training,5
Soft Skill,tổ chức và quản lý công việc,5
Soft Skill,viết báo cáo,5
Soft Skill,điều phối công việc,5
Soft Skill,đào tạo người dùng,5
Soft Skill,analytical mindset,4
Soft Skill,business acumen,4
Soft Skill,business analyst,4
Soft Skill,collaborate,4
Soft Skill,customer service,4
Soft Skill,data storytelling,4
Soft Skill,decision-making,4
Soft Skill,dẫn dắt,4
Soft Skill,giải quyết sự cố,4
Soft Skill,làm báo cáo,4
Soft Skill,làm việc với stakeholder,4
Soft Skill,nghiên cứu công nghệ mới,4
Soft Skill,ngữ pháp,4
Soft Skill,phân tích thông tin,4
Soft Skill,phối hợp đội nhóm,4
Soft Skill,planning,4
Soft Skill,problem‑solving,4
Soft Skill,quản lý stakeholder,4
Soft Skill,solve problems,4
Soft Skill,strategic thinking,4
Soft Skill,technical leader,4
Soft Skill,thương lượng,4
Soft Skill,tiếng hoa,4
Soft Skill,truyền cảm hứng,4
Soft Skill,trình bày ý tưởng,4
Soft Skill,trưởng nhóm,4
Soft Skill,từ vựng,4
Soft Skill,tự học,4
Soft Skill,vendor management,4
Soft Skill,work as part of a team,4
Soft Skill,work collaboratively,4
Soft Skill,điều phối dự án,4
Soft Skill,đào tạo nội bộ,4
Soft Skill,đánh giá và phân tích nội dung tiếng anh,4
Soft Skill,đọc hiểu tiếng anh,4
Soft Skill,đọc hiểu tài liệu bằng tiếng anh,4
Soft Skill,đọc hiểu tài liệu kỹ thuật bằng tiếng anh,4
Soft Skill,analytical and problem-solving,3
Soft Skill,anh văn,3
Soft Skill,brse,3
Soft Skill,budget control,3
Soft Skill,communicate effectively,3
Soft Skill,creativity,3
Soft Skill,data-driven,3
Soft Skill,dẫn dắt nhóm,3
Soft Skill,influence stakeholders,3
Soft Skill,it project management,3
Soft Skill,kết nối đội nhóm,3
Soft Skill,leading a team,3
Soft Skill,leading and coaching,3
Soft Skill,logical reasoning,3
Soft Skill,làm việc trong nhóm,3
Soft Skill,làm việc với khách hàng nước ngoài,3
Soft Skill,làm việc với vendor,3
Soft Skill,lãnh đạo kỹ thuật,3
Soft Skill,lên kế hoạch,3
Soft Skill,lập báo cáo,3
Soft Skill,managing,3
Soft Skill,mentoring engineers,3
Soft Skill,mô tả vấn đề,3
Soft Skill,nghiên cứu thị trường,3
Soft Skill,organizational abilities,3
Soft Skill,phân tích sản phẩm,3
Soft Skill,phân tích thị trường,3
Soft Skill,phân tích và ra quyết định,3
Soft Skill,po,3
Soft Skill,presales,3
Soft Skill,product-oriented mindset,3
Soft Skill,project planning,3
Soft Skill,public speaking,3
Soft Skill,quản lý chi phí,3
Soft Skill,quản lý nguồn lực,3
