category,normalized_skill,count
Tool & Platform,git,425
Tool & Platform,jira,274
Tool & Platform,linux,221
Tool & Platform,figma,180
Tool & Platform,excel,157
Tool & Platform,confluence,104
Tool & Platform,windows,80
Tool & Platform,github,63
Tool & Platform,word,59
Tool & Platform,powerpoint,57
Tool & Platform,unity,53
Tool & Platform,android,44
Tool & Platform,trello,44
Tool & Platform,visio,42
Tool & Platform,gitlab,41
Tool & Platform,photoshop,40
Tool & Platform,tin học văn phòng,40
Tool & Platform,draw.io,39
Tool & Platform,svn,38
Tool & Platform,illustrator,35
Tool & Platform,windows server,34
Tool & Platform,chatgpt,33
Tool & Platform,odoo,33
Tool & Platform,ai tools,28
Tool & Platform,github copilot,27
Tool & Platform,ubuntu,27
Tool & Platform,ios,26
Tool & Platform,cursor,25
Tool & Platform,ms office,25
Tool & Platform,notion,24
Tool & Platform,microsoft office,23
Tool & Platform,n8n,23
Tool & Platform,redmine,23
Tool & Platform,wordpress,23
Tool & Platform,balsamiq,22
Tool & Platform,maven,22
Tool & Platform,sap,22
Tool & Platform,sketch,22
Tool & Platform,claude code,21
Tool & Platform,gradle,21
Tool & Platform,microsoft 365,21
Tool & Platform,google sheets,20
Tool & Platform,unix,20
Tool & Platform,centos,19
Tool & Platform,copilot,19
Tool & Platform,miro,19
Tool & Platform,ms project,19
Tool & Platform,uml,19
Tool & Platform,adobe xd,18
Tool & Platform,postman,18
Tool & Platform,siem,18
Tool & Platform,ai,17
Tool & Platform,app store,17
Tool & Platform,salesforce,17
Tool & Platform,swagger,17
Tool & Platform,version control,17
Tool & Platform,adobe photoshop,16
Tool & Platform,firebase,16
Tool & Platform,xcode,16
Tool & Platform,crm,15
Tool & Platform,google analytics,15
Tool & Platform,axure,14
Tool & Platform,claude,14
Tool & Platform,lucidchart,14
Tool & Platform,google play,13
Tool & Platform,make,13
Tool & Platform,sharepoint,13
Tool & Platform,shopify,13
Tool & Platform,sonarqube,13
Tool & Platform,vite,13
Tool & Platform,webpack,13
Tool & Platform,asana,12
Tool & Platform,autocad,12
Tool & Platform,cisco,12
Tool & Platform,slack,12
Tool & Platform,after effects,11
Tool & Platform,ai coding tools,11
Tool & Platform,ai-assisted development tools,11
Tool & Platform,clickup,11
Tool & Platform,google sheet,11
Tool & Platform,oracle,11
Tool & Platform,automation tools,10
Tool & Platform,bpmn,10
Tool & Platform,công cụ ai,10
Tool & Platform,fortinet,10
Tool & Platform,google workspace,10
Tool & Platform,hệ điều hành,10
