category,normalized_skill,count
AI/ML/Data,ai,163
AI/ML/Data,ml,83
AI/ML/Data,pytorch,80
AI/ML/Data,tensorflow,73
AI/ML/Data,computer vision,52
AI/ML/Data,nlp,51
AI/ML/Data,rag,50
AI/ML/Data,prompt engineering,49
AI/ML/Data,llm,48
AI/ML/Data,dl,36
AI/ML/Data,ai/ml,35
AI/ML/Data,scikit-learn,26
AI/ML/Data,llms,25
AI/ML/Data,langchain,23
AI/ML/Data,chatbot,22
AI/ML/Data,ai agent,19
AI/ML/Data,transformer,19
AI/ML/Data,openai,18
AI/ML/Data,generative ai,16
AI/ML/Data,data science,15
AI/ML/Data,ai tools,14
AI/ML/Data,claude,14
AI/ML/Data,cnn,14
AI/ML/Data,hugging face,14
AI/ML/Data,rnn,14
AI/ML/Data,ai agents,13
AI/ML/Data,keras,13
AI/ML/Data,llm apis,13
AI/ML/Data,embeddings,12
AI/ML/Data,function calling,12
AI/ML/Data,langgraph,12
AI/ML/Data,công cụ ai,11
AI/ML/Data,genai,11
AI/ML/Data,ocr,11
AI/ML/Data,rag pipelines,11
AI/ML/Data,thống kê,11
AI/ML/Data,attention,10
AI/ML/Data,classification,10
AI/ML/Data,opencv,10
AI/ML/Data,fine-tuning,9
AI/ML/Data,gemini,9
AI/ML/Data,autogen,8
AI/ML/Data,clustering,8
AI/ML/Data,gnn,8
AI/ML/Data,llama,8
AI/ML/Data,onnx,8
AI/ML/Data,toán học,8
AI/ML/Data,xác suất thống kê,8
AI/ML/Data,chatgpt,7
AI/ML/Data,feature engineering,7
AI/ML/Data,model evaluation,7
AI/ML/Data,quantization,7
AI/ML/Data,vector embeddings,7
AI/ML/Data,agentic ai,6
AI/ML/Data,ai/llm,6
AI/ML/Data,anthropic,6
AI/ML/Data,bert,6
AI/ML/Data,data,6
AI/ML/Data,data mining,6
AI/ML/Data,guardrails,6
AI/ML/Data,hugging face transformers,6
AI/ML/Data,image processing,6
AI/ML/Data,llamaindex,6
AI/ML/Data,mathematics,6
AI/ML/Data,reinforcement learning,6
AI/ML/Data,speech,6
AI/ML/Data,statistics,6
AI/ML/Data,svm,6
AI/ML/Data,transformers,6
AI/ML/Data,vector search,6
AI/ML/Data,yolo,6
AI/ML/Data,đại số tuyến tính,6
AI/ML/Data,ai integration,5
AI/ML/Data,ai safety,5
AI/ML/Data,distillation,5
AI/ML/Data,embedding,5
AI/ML/Data,giải tích,5
AI/ML/Data,học máy,5
AI/ML/Data,lora,5
AI/ML/Data,mistral,5
AI/ML/Data,object detection,5
AI/ML/Data,openai api,5
AI/ML/Data,planning,5
AI/ML/Data,supervised learning,5
AI/ML/Data,tensorrt,5
AI/ML/Data,thuật toán học máy,5
AI/ML/Data,trí tuệ nhân tạo,5
AI/ML/Data,vllm,5
AI/ML/Data,xgboost,5
AI/ML/Data,xử lý hình ảnh,5
AI/ML/Data,-use agents,4
